region;date;price
praha;31.03.2019;73818
praha;30.06.2019;75162
praha;30.09.2019;77202
praha;31.12.2019;79382
stredocesky;31.03.2019;28777
stredocesky;30.06.2019;31328
stredocesky;30.09.2019;31846
stredocesky;31.12.2019;32882
jihocesky;31.03.2019;26028
jihocesky;30.06.2019;26896
jihocesky;30.09.2019;27295
jihocesky;31.12.2019;29429
plzensky;31.03.2019;30769
plzensky;30.06.2019;31775
plzensky;30.09.2019;31212
plzensky;31.12.2019;31453
karlovarsky;31.03.2019;20701
karlovarsky;30.06.2019;21281
karlovarsky;30.09.2019;21035
karlovarsky;31.12.2019;22007
ustecky;31.03.2019;18357
ustecky;30.06.2019;19557
ustecky;30.09.2019;20757
ustecky;31.12.2019;21145
liberecky;31.03.2019;24875
liberecky;30.06.2019;27730
liberecky;30.09.2019;28370
liberecky;31.12.2019;29240
kralovehradecky;31.03.2019;27075
kralovehradecky;30.06.2019;27387
kralovehradecky;30.09.2019;28745
kralovehradecky;31.12.2019;29093
pardubicky;31.03.2019;28748
pardubicky;30.06.2019;28214
pardubicky;30.09.2019;28688
pardubicky;31.12.2019;30290
vysocina;31.03.2019;27216
vysocina;30.06.2019;26948
vysocina;30.09.2019;28733
vysocina;31.12.2019;30643
jihomoravsky;31.03.2019;39865
jihomoravsky;30.06.2019;39998
jihomoravsky;30.09.2019;42106
jihomoravsky;31.12.2019;42399
olomoucky;31.03.2019;27515
olomoucky;30.06.2019;27713
olomoucky;30.09.2019;27767
olomoucky;31.12.2019;28897
zlinsky;31.03.2019;28148
zlinsky;30.06.2019;27871
zlinsky;30.09.2019;28858
zlinsky;31.12.2019;28806
moravskoslezsky;31.03.2019;22170
moravskoslezsky;30.06.2019;23238
moravskoslezsky;30.09.2019;23443
moravskoslezsky;31.12.2019;24637
praha;31.03.2020;82409
praha;30.06.2020;84096
praha;30.09.2020;88315
praha;31.12.2020;88315
stredocesky;31.03.2020;35400
stredocesky;30.06.2020;37755
stredocesky;30.09.2020;38292
stredocesky;31.12.2020;37858
jihocesky;31.03.2020;31178
jihocesky;30.06.2020;33257
jihocesky;30.09.2020;33152
jihocesky;31.12.2020;34357
plzensky;31.03.2020;32004
plzensky;30.06.2020;35112
plzensky;30.09.2020;34295
plzensky;31.12.2020;34873
karlovarsky;31.03.2020;22841
karlovarsky;30.06.2020;23630
karlovarsky;30.09.2020;23309
karlovarsky;31.12.2020;25048
